Enriched,All,Value
C0,C0,118
C0,C3,109
C0,C7,43
C0,C6,15
C0,C9,3
C0,C5,4
C1,C0,87
C1,C3,24
C1,C9,65
C1,C4,82
C1,C7,5
C1,C6,6
C2,C1,199
C2,C4,13
C2,C6,2
C2,C11,1
C2,C2,31
C2,C5,1
C2,C0,1
C3,C2,217
C3,C3,1
C3,C6,4
C3,C0,2
C3,C1,1
C4,C6,106
C4,C3,59
C4,C0,20
C4,C4,32
C4,C2,5
C4,C1,1
C5,C0,177
C5,C3,14
C5,C12,13
C5,C6,3
C5,C7,1
C5,C4,3
C5,C9,1
C6,C5,107
C6,C3,4
C6,C0,6
C6,C8,3
C6,C12,8
C6,C6,3
C6,C7,1
C6,C4,1
C7,C0,24
C7,C12,23
C7,C6,4
C7,C7,41
C7,C9,17
C7,C3,17
C7,C5,4
C7,C4,2
C8,C1,92
C8,C11,1
C8,C2,1
C8,C3,1
C8,C6,1
C9,C8,85
C9,C5,1
C10,C10,63
C10,C2,1
C11,C11,59
C11,C1,2
C12,C13,43
C12,C7,2
C13,C5,30
C14,C4,22
